"HECTAD","TIME.PERIOD","EASTING","NORTHING","HECTAD.SR","REGION.SR","PERCENT.RECORDED","RECORDING.LEVEL","lon","lat"
"SO39","1975-1991",330000,290000,27,551,4.90018148820327,"Recorded",-3.03267768175444,52.5033858743539
"SO40","2012-2016",340000,200000,290,601,48.2529118136439,"Heavily recorded",-2.86949575826645,51.6955263754172
"SO40","1975-1991",340000,200000,298,609,48.9326765188834,"Heavily recorded",-2.86949575826645,51.6955263754172
"SO41","2012-2016",340000,210000,252,595,42.3529411764706,"Heavily recorded",-2.87122366441816,51.7854269159293
"SO41","1975-1991",340000,210000,223,599,37.228714524207,"Heavily recorded",-2.87122366441816,51.7854269159293
"SO42","2012-2016",340000,220000,211,598,35.2842809364548,"Heavily recorded",-2.87296059795982,51.8753260312632
"SO42","1975-1991",340000,220000,53,598,8.8628762541806,"Recorded",-2.87296059795982,51.8753260312632
"SO43","2012-2016",340000,230000,28,599,4.67445742904841,"Recorded",-2.87470662148,51.9652237222302
"SO43","1975-1991",340000,230000,25,595,4.20168067226891,"Recorded",-2.87470662148,51.9652237222302
"SO44","2012-2016",340000,240000,69,598,11.5384615384615,"Well recorded",-2.87646179816322,52.0551199896519
"SO44","1975-1991",340000,240000,269,591,45.5160744500846,"Heavily recorded",-2.87646179816322,52.0551199896519
"SO45","2012-2016",340000,250000,2,582,0.343642611683849,"Recorded",-2.87822619179701,52.145014834361
"SO45","1975-1991",340000,250000,58,578,10.0346020761246,"Well recorded",-2.87822619179701,52.145014834361
"SO46","2012-2016",340000,260000,4,576,0.694444444444444,"Recorded",-2.87999986677904,52.2349082572007
"SO46","1975-1991",340000,260000,116,565,20.5309734513274,"Well recorded",-2.87999986677904,52.2349082572007
"SO47","2012-2016",340000,270000,81,575,14.0869565217391,"Well recorded",-2.88178288812436,52.3248002590248
"SO47","1975-1991",340000,270000,175,560,31.25,"Heavily recorded",-2.88178288812436,52.3248002590248
"SO48","2012-2016",340000,280000,103,571,18.0385288966725,"Well recorded",-2.88357532147277,52.4146908406977
"SO48","1975-1991",340000,280000,99,559,17.7101967799642,"Well recorded",-2.88357532147277,52.4146908406977
"SO49","2012-2016",340000,290000,328,567,57.8483245149912,"Heavily recorded",-2.88537723309629,52.5045800030942
"SO49","1975-1991",340000,290000,63,556,11.3309352517986,"Well recorded",-2.88537723309629,52.5045800030942
"SO50","2012-2016",350000,200000,400,603,66.334991708126,"Heavily recorded",-2.72482672595379,51.6965083241554
"SO50","1975-1991",350000,200000,393,601,65.3910149750416,"Heavily recorded",-2.72482672595379,51.6965083241554
"SO51","2012-2016",350000,210000,399,600,66.5,"Heavily recorded",-2.72626729369517,51.7864120184425
